rowid;categoria;sku;marca;preco;img
163;sorveteria;1507;Cobertura de Caramelo 300 G;R$ 7;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114498263/861ab85496.jpg
164;sorveteria;1492;Cobertura de Chocolate 300 G;R$ 9;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114498221/c180520486.jpg
165;sorveteria;1483;Cobertura de Groselha 1;3 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114498170/1f99fa5a20.jpg
166;sorveteria;1506;Cobertura de Morango 300 G;R$ 6;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114498003/10983dde91.jpg
167;sorveteria;1986;Chocolat Biscotti e Crema Meio Amargo 2;02 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249187/0528500044.jpg
168;sorveteria;1724;Variegato Amarena 2 KG;R$ 105;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249149/70d85dcc06.jpg
169;sorveteria;264;Chocolat Chocolate Ao Coco 2;02 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249088/fd0add62bd.jpg
170;sorveteria;1515;Cobertura Esquimó Plus Ao Leite 12 KG;R$ 289;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112601029/3203f78a83.jpg
171;sorveteria;1489;Cobertura Esquimó Supreme Branco 12 KG;R$ 356;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112601020/833de7d4ba.jpg
172;sorveteria;1488;Cobertura Esquimo Supreme Ao Leite 12 KG;R$ 339;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112601014/fa2a5dbba4.jpg
173;sorveteria;960;Polpa Pró Polpa Maracujá Com Semente 4;3 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112460919/31c734b37e.jpg
174;sorveteria;1190;Polpa J.E.B. Frutas Vermelhas 4;1 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112460899/259a852c77.jpg
175;sorveteria;1431;Coloreti 1;01 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111331652/5a6b340e0f.jpg
176;sorveteria;251;Coloreti Mini 1;01KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111331615/b16f73e267.jpg
177;sorveteria;1241;Cobertura de Chiclets Kids 300 G;R$ 8;https://cdn.awsli.com.br/300x300/1284/1284671/produto/104281895/35f4961ec2.jpg
178;sorveteria;1245;Cobertura de Blue Ice Kids 1;3 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/104279702/1999cef160.jpg
179;sorveteria;1246;Cobertura de Chiclets Kids 1;3KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/104073121/5287c3f92b.jpg
180;sorveteria;558;Choco Power Ball Mini Branco/Leite Vabene 500 G;R$ 18;https://cdn.awsli.com.br/300x300/1284/1284671/produto/102188758/vabene-confeitos-mini-misto-500g-e61wi3oq7i.jpg
181;sorveteria;552;Choco Power Ball Micro Branco/Leite Vabene - 500 G;R$ 18;https://cdn.awsli.com.br/300x300/1284/1284671/produto/102188753/vabene-confeitos-micro-misto-500g-te5w7mx73v.jpg
182;sorveteria;2068;Base para Gelados Gelato Latte 800G;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/181072546/b40821391f.jpg
183;sorveteria;1558;Selecta Especial Leite Condensado 1kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53383885/ee09977cdb.jpg
184;sorveteria;2459;Ovomaltine Rocks 550 g;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/227856886/ovomaltine-rocks-7j66hniq5m.jpg
185;sorveteria;7938;Selecta Tropical Morango 1Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53099212/32c403ac14.jpg
186;sorveteria;554;Selecta Tropical Limão Taiti 1Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53093298/f26a480900.jpg
187;sorveteria;1475;Selecta Plus Morango 1Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53592128/3fd5346598.jpg
188;sorveteria;1661;Selecta Especial Coco Queimado 1kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53383361/6c70db6865.jpg
189;sorveteria;1030;Selecta Tropical Maça Verde 1Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53095768/10205efe3a.jpg
190;sorveteria;740;Saborizante Sorvete Algemix Selecta - Morangurte 1Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53357865/56323f5f0a.jpg
191;sorveteria;669;Selecta Tropical Laranja 1Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53082665/9d4fb60f83.jpg
192;sorveteria;1847;Fini Bala de Gelatina Dentadura 500 G;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98099417/97062ef080.jpg
193;sorveteria;1846;Fini Bala de Gelatina Minhocas Brilho 500 G;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98099412/2b6f6c1ac4.jpg
194;sorveteria;2864;Mistura Láctea Polenghi Chocolate Bag 5 LT;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/96861584/08536ce6c6.jpg
195;sorveteria;2863;Mistura Láctea Polenghi Baunilha Bag 5 L;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/96861582/77a2732de7.jpg
196;sorveteria;559;Super Liga Neutra Extra Industrial 1 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/96416567/7b10601127.jpg
197;sorveteria;932;Pasta Saborizante Chocolate com Avelã Zero 2;kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91260193/789d73ecd6.jpg
198;sorveteria;1564;Cobertura de Caramelo Toffe 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91240702/7b6a4bc420.jpg
199;sorveteria;2181;Chocolat Seleção Trufa Premium 4kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/90989865/f32c6eb50f.jpg
200;sorveteria;2085;Chocolat Brigadeiro Artesanalle 2;02kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88510391/e07391d411.jpg
201;sorveteria;1981;Chocolat Amendocrema 2;02kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88509509/7baf25c66a.jpg
202;sorveteria;630;Saborizante Sorvete Algemix Selecta - Chocolate Suíço 800gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88486506/cd7c51f3fa.jpg
203;sorveteria;528;Saborizante Sorvete Algemix Selecta - Creme 20kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88480521/8afc6fb272.jpg
204;sorveteria;529;Saborizante Sorvete Algemix Selecta - Leite Condensado 20 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/85821637/6d94bd3ce3.jpg
205;sorveteria;523;Saborizante Sorvete Algemix Selecta - Blue Ice 20kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/84470553/e910982ac1.jpg
206;sorveteria;2083;Chocolat Cookies Cream 2;02 kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/84271601/d7bb2fc6d1.jpg
207;sorveteria;1983;Variegato Banana Flambada 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/60589377/b9ba7de2bc.jpg
208;sorveteria;191;Embalagem BOPP Uva Ao Leite 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57808160/5e6ec8eb48.jpg
209;sorveteria;609;Embalagem BOPP Uva 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57808034/c45d9202cc.jpg
210;sorveteria;656;Embalagem BOPP Tutti Fruti 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57807808/016284d97c.jpg
211;sorveteria;613;Embalagem BOPP Tangerina 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57807606/a94204f074.jpg
212;sorveteria;620;Embalagem BOPP Skimo Branco 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57807480/428b16c038.jpg
213;sorveteria;602;Embalagem BOPP Skimo 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57807297/8dba09f84b.jpg
214;sorveteria;591;Embalagem BOPP Nata 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57807138/144ecfea20.jpg
215;sorveteria;619;Embalagem BOPP Napolitano 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57806930/a389eac8a0.jpg
216;sorveteria;189;Embalagem BOPP Mousse de Maracujá 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57806659/31bc3f597b.jpg
217;sorveteria;593;Embalagem BOPP Morango 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57806430/02798cdf27.jpg
218;sorveteria;611;Embalagem BOPP Milho Verde 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57806353/9e34b7ba7f.jpg
219;sorveteria;676;Embalagem BOPP Melancia 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57805825/e1f4c588a4.jpg
220;sorveteria;596;Embalagem BOPP Maracujá 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57805578/a9c977b874.jpg
221;sorveteria;600;Embalagem BOPP Manga 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57805261/e2a6ca717c.jpg
222;sorveteria;680;Embalagem BOPP Limão Suíço 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57804728/6589fccda1.jpg
223;sorveteria;607;Embalagem BOPP Limão 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57804617/c1ede390b5.jpg
224;sorveteria;2115;Embalagem BOPP Pico Ninho 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57804406/9e9237443f.jpg
225;sorveteria;599;Embalagem BOPP Leite Condensado 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57804107/eac9426f7d.jpg
226;sorveteria;678;Embalagem BOPP Jabuticaba 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57803815/d94b7b3ed0.jpg
227;sorveteria;681;Embalagem BOPP Iogurte 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57803623/b6cff12143.jpg
228;sorveteria;606;Embalagem BOPP Groselha 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57803400/25a64402f9.jpg
229;sorveteria;608;Embalagem BOPP Goiaba 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57803082/a62e584eee.jpg
230;sorveteria;612;Embalagem BOPP Flocos 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57802090/13d3f91e67.jpg
231;sorveteria;615;Embalagem BOPP Doce de Leite 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57801956/419f46788b.jpg
232;sorveteria;618;Embalagem BOPP Creme 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57801841/a30cb06caf.jpg
233;sorveteria;614;Embalagem BOPP Coco Queimado 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57801665/93b6e87845.jpg
234;sorveteria;595;Embalagem BOPP Coco 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57801551/9c8503089c.jpg
235;sorveteria;605;Embalagem BOPP Chocolate 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57801442/18799b5b1a.jpg
236;sorveteria;597;Embalagem BOPP Chocolate Branco 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57801307/3ad7dac716.jpg
237;sorveteria;594;Embalagem BOPP Brigadeiro 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57801152/3c896a864c.jpg
238;sorveteria;617;Embalagem BOPP Branca 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57801051/1961de3d24.jpg
239;sorveteria;603;Embalagem BOPP Blue Ice 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57800893/dda065cfd4.jpg
240;sorveteria;679;Embalagem BOPP Amendoim 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57800731/f281d210a5.jpg
241;sorveteria;598;Embalagem BOPP Acerola 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57800083/761ba8f696.jpg
242;sorveteria;610;Embalagem BOPP Açaí 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57799904/7ed3403831.jpg
243;sorveteria;188;Embalagem BOPP Abacaxi Suíço 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57799078/6f0c7c4f4f.jpg
244;sorveteria;187;Embalagem BOPP Abacaxi Ao Vinho 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57798901/64fc6f526b.jpg
245;sorveteria;601;Embalagem BOPP Abacaxi 250gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57796829/9c7793d879.jpg
246;sorveteria;731;Polpa Pró Polpa Amora 4;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57314774/890ebe54b9.jpg
247;sorveteria;2060;Leite em Pò Modificado Selecta Lac 25kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56459072/26653a81be.jpg
248;sorveteria;157;Leite em Pó Modificado Supralac Sw100 25Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56458510/6d77bca406.jpg
249;sorveteria;1082;Cumbuca Termica Copobrás Branca 500ml 50unid;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/55267633/b537f95b6d.jpg
250;sorveteria;463;Palito de Sorvete Plastico cx com 5.000 Unid;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/55263669/68fd7b6afa.jpg
251;sorveteria;2041;Cobertura de Frutas Vermelhas 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54204024/d5347f6f40.jpg
252;sorveteria;675;Cobertura de Menta 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54202186/6ae4cb71f9.jpg
253;sorveteria;631;Cobertura de Uva 1;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54202158/782297df7b.jpg
254;sorveteria;1511;Selecta TOP Chocolate 4kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54144141/1b764bc2f1.jpg
255;sorveteria;1509;Selecta TOP Abacaxi 4kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54143998/1e10abac3e.jpg
256;sorveteria;2192;Chocolat Trufa Premium Zero 2Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54142723/bdc9a3d744.jpg
257;sorveteria;172;Chocolat Wafer Bianco 4kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54142617/f2321b106b.jpg
258;sorveteria;247;Chocolat Pasta Chocolate com Avelã 4kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54139545/2130ed5c91.jpg
259;sorveteria;2087;Chocolat Caramelo Salgado 2;02kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54128352/4bdbe9bb5d.jpg
260;sorveteria;2667;Chocolat Brigadeiro Nota Alcoólica 2;02kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54126746/aa7d68190f.jpg
261;sorveteria;262;Pasta Saborizante Pudim de Leite 2 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54125099/026364d0a1.jpg
262;sorveteria;1974;Pasta Saborizante Limão Siciliano 2 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54124370/07f984ebdd.jpg
263;sorveteria;1976;Pasta Saborizante Morango 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54123771/cd69ccd771.jpg
264;sorveteria;261;Pasta Saborizante Limão Taiti 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54123144/4e7255e4da.jpg
265;sorveteria;259;Pasta Saborizante Chocolate com Avelã 2;kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54122966/064933f459.jpg
266;sorveteria;1975;Pasta Saborizante Café 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54122893/4441256380.jpg
267;sorveteria;2186;Pasta Saborizante Brigadeiro 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54122793/b52f401674.jpg
268;sorveteria;2185;Pasta Saborizante Baunilha Negra 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54122717/73a5f6fb4f.jpg
269;sorveteria;2193;Variegato Morango Zero 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53862526/04df577baf.jpg
270;sorveteria;1726;Variegato Morango 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53862439/efd6f24e52.jpg
271;sorveteria;1979;Variegato Mirtilio 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53862318/74fb439581.jpg
272;sorveteria;266;Variegato Maracujá Zero 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53862082/787ff6e7ca.jpg
273;sorveteria;1764;Variegato Maracujá 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53861987/dcee9ec735.jpg
274;sorveteria;1973;Variegato Damasco 2 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53861629/c5e6a177d7.jpg
275;sorveteria;1840;Variegato Amora 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53861463/e002428b7f.jpg
276;sorveteria;1841;Variegato Abacaxi ao Vinho 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53860916/79847be941.jpg
277;sorveteria;2043;Cobertura Esquimó Plus Branco 4Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53619281/3150cdb8a4.jpg
278;sorveteria;2025;Selecta Plus Mousse de Maracujá 700gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53592300/b216c2c740.jpg
279;sorveteria;2091;Selecta Plus Base Dark Chocolate Meio Amargo 900gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53591601/44d3263c68.jpg
280;sorveteria;127;Selecta Especial Ovo 1kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53388368/8d9599b07c.jpg
281;sorveteria;1530;Selecta Especial Morango 1kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53386100/4ac6bb6252.jpg
282;sorveteria;1529;Selecta Especial Creme 1kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53383658/36a990ebc1.jpg
283;sorveteria;1503;Selecta Especial Coco 1kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53383234/1c8716ebed.jpg
284;sorveteria;1532;Selecta Especial Abacate 1kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53381250/764145408c.jpg
285;sorveteria;640;Saborizante Sorvete Algemix Selecta - Sonho de Leite Condensado 1Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53361015/3a23c84e25.jpg
286;sorveteria;1091;Saborizante Sorvete Algemix Selecta - Nozes 1Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53360196/c295efc04d.jpg
287;sorveteria;270;Saborizante Sorvete Algemix Selecta - Marshmallow 1kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53356735/269c8f8b41.jpg
288;sorveteria;2098;Saborizante Sorvete Algemix Selecta - Churros 1kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53335703/d1baad93a6.jpg
289;sorveteria;635;Saborizante Sorvete Algemix Selecta - Chocolate 800gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53335047/ee01824433.jpg
290;sorveteria;2006;Saborizante Sorvete Algemix Selecta - Chocolate com Malte 800gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53334319/77d7ef9040.jpg
291;sorveteria;636;Saborizante Sorvete Algemix Selecta - Brigadeiro 800 gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53324326/a26153639b.jpg
292;sorveteria;511;Base Neutra Alcoólica Spirit Drink 800gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53201621/56ce4c485f.jpg
293;sorveteria;907;Selecta Tropical Nova Graviola 1Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53100396/3c3f25671f.jpg
294;sorveteria;2198;Selecta Tropical Graviola 1Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53070241/94ed4ce9bb.jpg
295;sorveteria;905;Selecta Tropical Cajá 1Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/52962964/1ed080b7f5.jpg
296;sorveteria;668;Selecta Tropical Acerola 1Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/52647404/5824269f7a.jpg
297;sorveteria;3;Emustab Laranja 3kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49763364/d6f7672a8d.jpg
298;sorveteria;588;Amendoim Torrado E Granulado Sem Sal 105Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/299660184/amendoim-granulado-s-sal-1-05kg-santa-helena-oau2jkdpwa.JPG
299;sorveteria;2737;Chocolat Chocolate com Marshmallow 3;5 kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690420/sel--chocolat---choc--c-marshmallow---bd-3-5-kg-9tr2p7djoy.jpg
300;sorveteria;2698;Selecta Creme de Chocolate ao Leite Bisnaga Classic 1;01kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690392/selecta-classic-creme-de-chocolate-ao-leite-1-01kg---sach--alkcepwaq1.jpg
301;sorveteria;2697;Selecta Creme de Chocolate ao Leite Classic 3 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690389/selecta-classic-chocolate-ao-leite-3kg-kmnlft8frc.jpg
302;sorveteria;2696;Selecta Creme de Brigadeiro Bisnaga Classic 1;01kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690386/selecta-classic-creme-de-brigadeiro-1-01kg---sach--edrzpb0ayv.jpg
303;sorveteria;2695;Selecta Creme de Brigadeiro Classic 4kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690382/selecta-classic-creme-de-brigadeiro-3kg-pqntetlqyy.jpg
304;sorveteria;2693;Selecta Creme de Gianduia Classic 3kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690372/selecta-classic-creme-de-gianduia-3kg-tke4d8ckr4.jpg
305;sorveteria;2692;Selecta Chocowaffer ao Leite Classic 4 kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690368/selecta-classic-chcocowafer-ao-leite-4kg-6f0urcpoj0.jpg
306;sorveteria;2685;Selecta Chocowaffer Branco Classic 4kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690365/selecta-classic-chcocowafe-branco-4kg-ifikhkjdhu.jpg
307;sorveteria;2437;Selecta Chocomalte Classic 4 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277690360/chocomalte-4kg-qsdzwr3p0d.jpg
308;sorveteria;2702;Pasta Saborizante Pistache 2 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/277490356/specialit--pasta-saborizante-pistache-2kg-dut9vt2zgo.jpg
309;sorveteria;2042;Amido de Milho BV Foods 25 KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/261702667/amido-de-milho-jmlbclmbtf.jpg
310;sorveteria;2628;Mistura Láctea Daus chocolate bag 5 L;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/259854778/chocolate-daus-s6bz56k159.JPG
311;sorveteria;2627;Mistura Láctea Daus Baunilha bag 5 L;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/259854776/produto-baunilha-p4lwotnweg.png
